,city,latitude,date,max temp,humidity,cloudiness,wind speed
0,santa cruz,36.97,01-12-2019 19:00:00,288.15,71.0,40.0,2.6
1,ushuaia,-54.81,01-12-2019 19:00:00,279.15,75.0,40.0,14.9
2,hithadhoo,-0.6,01-12-2019 19:19:54,300.272,100.0,8.0,2.61
3,vilyuysk,63.75,01-12-2019 19:19:54,247.347,66.0,64.0,2.51
4,hobart,-42.88,01-12-2019 18:30:00,294.15,32.0,0.0,5.1
5,cape town,-33.93,01-12-2019 19:00:00,290.15,93.0,40.0,3.6
6,bluff,-23.58,01-12-2019 19:17:14,302.397,47.0,0.0,4.66
7,vao,59.1,01-12-2019 19:17:24,264.297,76.0,12.0,2.61
8,touros,-5.2,01-12-2019 19:00:00,299.15,83.0,75.0,2.1
9,kruisfontein,-34.0,01-12-2019 19:19:55,289.497,92.0,0.0,2.73
10,rikitea,-23.12,01-12-2019 19:17:31,299.347,100.0,68.0,5.56
11,bredasdorp,-34.53,01-12-2019 19:00:00,291.15,63.0,0.0,4.1
12,rodrigues alves,-7.74,01-12-2019 19:00:00,296.15,100.0,0.0,0.91
13,barrow,-38.31,01-12-2019 19:19:56,291.697,94.0,76.0,2.46
14,georgetown,6.8,01-12-2019 19:00:00,299.15,74.0,75.0,6.2
15,paulba,13.18,01-12-2019 19:19:56,297.997,95.0,64.0,3.93
16,albany,42.65,01-12-2019 18:57:00,265.95,44.0,75.0,2.6
17,murindo,6.98,01-12-2019 19:19:57,299.147,76.0,64.0,1.33
18,mersing,2.43,01-12-2019 19:19:57,299.472,88.0,64.0,2.81
19,mataura,-46.19,01-12-2019 19:17:14,285.972,100.0,88.0,1.61
20,portland,45.52,01-12-2019 18:53:00,283.75,58.0,75.0,6.7
21,goure,13.98,01-12-2019 19:19:58,292.247,46.0,0.0,5.31
22,biak,-0.91,01-12-2019 19:19:59,299.772,100.0,32.0,1.28
23,sovetskiy,56.76,01-12-2019 19:19:59,260.472,82.0,56.0,3.73
24,carnarvon,-30.97,01-12-2019 19:19:59,286.447,73.0,0.0,3.51
25,lagoa,37.14,01-12-2019 18:30:00,282.15,57.0,0.0,4.1
26,klaksvik,62.23,01-12-2019 18:50:00,280.15,93.0,92.0,8.2
27,bathsheba,13.22,01-12-2019 19:00:00,298.15,73.0,40.0,4.1
28,kavieng,-2.57,01-12-2019 19:20:00,301.522,100.0,48.0,4.66
29,ribeira grande,38.52,01-12-2019 19:20:00,289.897,97.0,36.0,9.76
30,east london,-33.02,01-12-2019 19:20:01,295.972,99.0,92.0,6.78
31,mahon,51.89,01-12-2019 19:00:00,281.15,87.0,40.0,5.1
32,morehead,38.18,01-12-2019 19:15:00,274.85,99.0,90.0,3.1
33,new norfolk,-42.78,01-12-2019 18:30:00,294.15,32.0,0.0,5.1
35,punta arenas,-53.16,01-12-2019 19:00:00,281.15,65.0,75.0,12.9
36,hokitika,-42.72,01-12-2019 19:20:02,289.472,92.0,92.0,5.76
37,port alfred,-33.59,01-12-2019 19:17:30,292.697,94.0,80.0,1.33
38,bowen,-20.01,01-12-2019 19:00:00,301.15,69.0,90.0,8.2
