,city,latitude,date,max temp,humidity,cloudiness,wind speed
0,puerto ayora,-0.74,01-12-2019,76.68,99.0,20.0,10.54
1,nikolskoye,59.7,01-12-2019,19.4,92.0,75.0,6.71
2,vostok,46.45,01-12-2019,16.29,64.0,0.0,3.04
3,shitkino,56.37,01-12-2019,-2.89,49.0,44.0,7.78
4,rikitea,-23.12,01-12-2019,79.29,99.0,80.0,13.6
5,port hedland,-20.31,01-12-2019,107.6,25.0,0.0,8.05
6,punta arenas,-53.16,01-12-2019,46.4,65.0,75.0,29.97
7,cape town,-33.93,01-12-2019,62.6,93.0,40.0,10.29
8,grindavik,63.84,01-12-2019,33.8,86.0,40.0,16.11
9,kapaa,22.08,01-12-2019,78.98,68.0,1.0,5.82
10,paamiut,61.99,01-12-2019,32.49,97.0,92.0,23.96
11,mataura,-46.19,01-12-2019,59.49,86.0,76.0,8.75
12,yoichi,43.19,01-12-2019,23.0,57.0,40.0,4.7
13,tiksi,71.64,01-12-2019,-29.44,48.0,24.0,3.83
14,souillac,45.6,01-12-2019,48.2,93.0,90.0,5.82
15,alexandria,31.31,01-12-2019,53.6,71.0,1.0,5.82
16,mount gambier,-37.83,01-12-2019,77.0,47.0,0.0,16.11
17,ushuaia,-54.81,01-12-2019,44.6,70.0,75.0,28.86
18,tasiilaq,65.61,01-12-2019,17.6,67.0,36.0,1.12
19,vaini,15.34,01-12-2019,62.6,77.0,0.0,2.24
20,arraial do cabo,-22.97,01-12-2019,76.5,90.0,0.0,13.27
22,cidreira,-30.17,01-12-2019,73.62,90.0,64.0,13.94
24,barrow,-38.31,01-12-2019,63.54,97.0,88.0,10.13
25,hualmay,-11.1,01-12-2019,64.62,95.0,0.0,6.29
26,hobart,-42.88,01-12-2019,69.8,35.0,0.0,12.75
27,roros,62.57,01-12-2019,14.0,92.0,90.0,3.36
28,tuktoyaktuk,69.44,01-12-2019,-31.01,73.0,20.0,10.29
29,aitape,-3.15,01-12-2019,82.71,90.0,64.0,8.75
30,port alfred,-33.59,01-12-2019,67.41,92.0,32.0,7.74
31,borovoy,63.23,01-12-2019,13.68,83.0,68.0,9.8
33,east london,-33.02,01-12-2019,72.81,99.0,88.0,7.07
34,saldanha,41.42,01-12-2019,18.81,79.0,0.0,3.09
35,jamestown,-33.21,01-12-2019,89.46,25.0,0.0,9.24
36,kaitangata,-46.28,01-12-2019,56.07,100.0,100.0,5.06
37,ati,13.21,01-12-2019,64.26,29.0,8.0,8.23
38,lorengau,-2.02,01-12-2019,83.43,99.0,76.0,13.44
39,healesville,-37.65,01-12-2019,78.8,38.0,0.0,14.99
40,sao filipe,14.9,01-12-2019,71.28,100.0,20.0,9.08
